SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,NUM_FRENTES,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
RET,CF,DI,7,7501055311811,Fanta Naranja 2.5L NR,Refrescos,1,36.0,11.5
RET,CF,DI,7,7501055311804,Fresca Toronja 2.5L NR,Refrescos,1,48.0,11.5
RET,CF,DI,7,7501055314218,Joya Manzana 2.5L NR,Refrescos,1,60.0,11.5
RET,CF,DI,7,7501055356492,Cristal Negra 2.5L NRP,Refrescos,1,72.0,11.3
RET,CF,DI,7,7501055356515,Cristal Fresa 2.5L NRP,Refrescos,1,83.8,11.3
RET,CF,DI,7,7501055336630,Escuis Manzana 3L NR,Refrescos,1,95.6,11.2
RET,CF,DI,7,7501055304790,Fanta Naranja 3L NR,Refrescos,1,107.3,11.2
RET,CF,DI,8,7501055340422,Sidral Mundet Manzana 3L NR,Refrescos,1,0.0,11.2
RET,CF,DI,8,7501055304806,Sprite Lima limon 3L NR,Refrescos,1,11.7,11.2
RET,CF,DI,8,7501055304813,Fresca Toronja 3L NR,Refrescos,1,23.4,11.2
RET,CF,DI,8,7501022015551,Manzanita Sol Manzana 2.5L NR,Refrescos,1,35.1,11.2
RET,CF,DI,8,7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,Refrescos,1,46.8,11.0
RET,CF,DI,8,7501055357895,Sidral Mundet Manzana 300ml NR,Refrescos,2,58.3,11.2
RET,CF,DI,8,7501031305629,Refresco Pepsi Regular 2.5L Retornable,Refrescos,1,70.0,11.1
RET,CF,DI,8,7501505630080,Sangria casera Original 2.5L NR,Refrescos,1,81.6,11.0
RET,CF,DI,8,7501071120411,Squirt Toronja 2.5L NR,Refrescos,1,93.1,11.0
RET,CF,DI,8,7501022014639,Seven up Lima limon 2.5L NR,Refrescos,1,104.6,11.0
RET,CF,DI,9,744886195466,Aga Manzana 2.5L NR,Refrescos,1,0.0,11.0
RET,CF,DI,9,7501055321919,Agua ciel gasificada Sifon 1.75 Lt botella NR,Refrescos,1,11.5,10.8
RET,CF,DI,9,7501277412617,Agua purificada Taxco 2 lt bote,Refrescos,1,22.8,10.5
RET,CF,DI,9,7501055357420,A Mineralizada 25L 6P,Refrescos,1,33.8,10.5
RET,CF,DI,9,7501055379941,FRESCA FUSION 2L NR,Refrescos,1,44.8,10.5
RET,CF,DI,9,7501055367412,Ameyal Pera 2L PNR 4pk,Refrescos,1,55.8,10.4
RET,CF,DI,9,7501055329946,Yoli Limon 2L NR,Refrescos,1,66.7,10.4
RET,CF,DI,9,7503006897030,Red Cola 2 Lts No Retornable,Refrescos,1,77.6,10.4
RET,CF,DI,9,7501055379538,Del Valle Fizz Limonada 2L PNR,Refrescos,1,88.5,10.4
RET,CF,DI,9,7501055379491,Del Valle Fizz Naranjada 2L PNR,Refrescos,1,99.4,10.4
RET,CF,DI,10,7501055364077,AMEYAL MANDUR BOT 2L NR PET 4PK,Refrescos,2,0.0,20.8
RET,CF,DI,10,7501055301300,Refresco CocaCola 2 lt botella Retornable,Refrescos,1,21.3,10.3
RET,CF,DI,10,7501055301386,Fanta Fresa 2L NR,Refrescos,1,32.1,10.3
RET,CF,DI,10,7501073839861,Penafiel Naranjada 2 lt NR,Refrescos,1,42.9,10.3
RET,CF,DI,10,7501073831964,Penafiel Fresa 2L NR,Refrescos,1,53.7,10.3
RET,CF,DI,10,7501073839892,Penafiel Limonada 2 lt NR,Refrescos,1,64.5,10.3
RET,CF,DI,10,761746000319,California Manzana 2L NR,Refrescos,1,75.3,10.3
RET,CF,DI,10,7501073831988,Penafiel Manzanita 2L NR,Refrescos,1,86.1,10.3
RET,CF,DI,10,7501055320660,Coca Cola SA 2 L NR,Refrescos,1,96.9,10.3
RET,CF,DI,10,7501073840843,Penafiel Sifon 1.75lt NR,Refrescos,1,107.7,10.3
RET,CF,DI,11,7501073841949,PENAFIEL PINADA 2 LTS,Refrescos,1,0.0,10.3
RET,CF,DI,11,7501198355444,Crush Naranja 2L NR,Refrescos,1,10.8,10.3
RET,CF,DI,11,7501198354195,Dr Pepper Original 2L NR,Refrescos,1,21.6,10.3
RET,CF,DI,11,7501022015544,Manzanita Sol Manzana 2L NR,Refrescos,1,32.4,10.2
RET,CF,DI,11,7501055305742,Agua mineral Ciel 2 lt botella No Retornable,Refrescos,1,43.1,10.1
RET,CF,DI,11,7501055359776,Mundet Sangria 2L NR,Refrescos,1,53.7,10.04
RET,CF,DI,11,7501055340002,Sidral Mundet Manzana 2L NR,Refrescos,1,64.24,10.0
RET,CF,DI,11,7501073800908,Penafiel Mineral 2 lt NR,Refrescos,2,74.74,20.6
RET,CF,DI,11,7501055305650,Sprite Lima limon 2L NR,Refrescos,1,95.84,10.0
RET,CF,DI,11,7501071120077,Squirt Toronja 2L NR,Refrescos,1,106.34,10.0
RET,CF,DI,12,7503032676005,Squirt Toronja 2L NR,Refrescos,2,0.0,20.0
RET,CF,DI,12,7501055305360,Refresco CocaCola 2 lt botella No Retornable cola light,Refrescos,1,20.5,10.0
RET,CF,DI,12,7501198333565,Agua mineral Canada Dry Club Soda 2 lt botella No Retornable,Refrescos,1,31.0,10.0
RET,CF,DI,12,7501022014622,Seven up Lima limon 2L NR,Refrescos,1,41.5,10.0
RET,CF,DI,12,7501055303885,Fresca Toronja 2L NR,Refrescos,1,52.0,10.0
RET,CF,DI,12,744886193059,Aga Sidra manzana 2L NR,Refrescos,1,62.5,10.0
RET,CF,DI,12,7501505630028,Sangria casera Original 2L NR,Refrescos,1,73.0,10.0
RET,CF,DI,12,7501055327973,Escuis Fresa 2L NR,Refrescos,1,83.5,10.0
RET,CF,DI,12,7501371000734,Vita Fresa 2L NR,Refrescos,1,94.0,10.0
RET,CF,DI,12,7501055321681,Coca Cola SA 2.5 L NR,Refrescos,1,104.5,10.0
RET,CF,DI,13,7501055376681,AMEYAL FRESAKIWI BOT 2L NR PET 4PK,Refrescos,2,0.0,20.0
RET,CF,DI,13,7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,Refrescos,1,20.5,10.0
RET,CF,DI,13,7501031312405,Refresco Pepsi 2 lt botella No Retornable cola light,Refrescos,1,31.0,10.0
RET,CF,DI,13,7501055328055,Escuis Manzana 2L NR,Refrescos,1,41.5,10.0
RET,CF,DI,13,7501055302062,Sprite Lima limon 1.75L NR,Refrescos,1,52.0,9.95
RET,CF,DI,13,7501055379934,FRESCA FUSION 1.75L NR,Refrescos,1,62.45,9.95
RET,CF,DI,13,7501055311002,Fanta Naranja 1.75L NR,Refrescos,1,72.9,9.95
RET,CF,DI,13,7501055374380,Cristal Cebada 1.75L NR,Refrescos,1,83.35,9.95
RET,CF,DI,13,7501055349388,Mundet Manzana 1.75L NR,Refrescos,1,93.8,9.95
RET,CF,DI,13,7501055374366,Cristal Fresa 1.75L NR,Refrescos,1,104.25,9.95
RET,CF,DI,14,7501055374373,Cristal Sidra negra 1.75L NR,Refrescos,2,0.0,19.9
RET,CF,DI,14,7501055301058,Fresca Toronja 1.75L NR,Refrescos,1,20.4,9.95
RET,CF,DI,14,21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,Refrescos,1,30.85,9.7
RET,CF,DI,14,7501055382156,Del Valle Fizz Naranjada 1.75L NRP,Refrescos,1,41.05,9.6
RET,CF,DI,14,7501055343270,Mundet Manzana 1.5L NR,Refrescos,1,51.15,9.5
RET,CF,DI,14,7501055370009,COCA COLA LIGHT 1.75L,Refrescos,1,61.15,9.5
RET,CF,DI,14,7501441604213,Jarritos Tamarindo 2L NR,Refrescos,1,71.15,9.5
RET,CF,DI,14,7501441604411,Jarritos Tutti Frutti 2L NR,Refrescos,1,81.15,9.5
RET,CF,DI,14,7501441606125,Jarritos Pi?a 1.5L NR,Refrescos,1,91.15,9.5
RET,CF,DI,14,30385815005,Aguas de Lourdes Mineral 1.5 LTS,Refrescos,1,101.15,9.5
RET,CF,DI,15,7501441604114,Jarritos Mandarina 2L NR,Refrescos,3,0.0,28.5
RET,CF,DI,15,7501441604121,Jarritos Pi?a 2L NR,Refrescos,1,29.0,9.5
RET,CF,DI,15,7501441606415,Jarritos 15Lt Tutti Fruti NR,Refrescos,1,39.0,9.5
RET,CF,DI,15,7500326103421,Barrilitos Ponche 2L NR,Refrescos,1,49.0,9.5
RET,CF,DI,15,7501055349555,Coca Cola Sin Azucar 1.75L,Refrescos,1,59.0,9.5
RET,CF,DI,15,7503006897214,Jarritos Manzana 2L NR,Refrescos,1,69.0,9.5
RET,CF,DI,15,7500326103407,Barrilitos Durazno 2L NR,Refrescos,1,79.0,9.5
RET,CF,DI,15,7500326103438,Barrilitos Manzana 2L NR,Refrescos,1,89.0,9.5
RET,CF,DI,15,7501055305643,Sprite Lima limon 1.5L NR,Refrescos,1,99.0,9.5
RET,CF,DI,15,7501055300594,Refresco Coca-Cola 1.5 lt botella Retornable:cola:regular,Refrescos,1,109.0,9.5
RET,CF,DI,16,7501055303830,Fresca Toronja 1.5L NR,Refrescos,3,0.0,28.5
RET,CF,DI,16,7501055353217,JOYA 1.75L UVA,Refrescos,1,29.0,9.4
RET,CF,DI,16,7501055370146,JOYA MANZANA 1.75L,Refrescos,1,38.9,9.4
RET,CF,DI,16,7501055353163,JOYA DURAZNO 1.75L,Refrescos,1,48.8,9.4
RET,CF,DI,16,7501055353170,JOYA FRESA 1.75L,Refrescos,1,58.7,9.4
RET,CF,DI,16,7501371000857,Vita Fresa 1.5L NR,Refrescos,1,68.6,9.4
RET,CF,DI,16,7501055328925,Victoria Manzana15lts,Refrescos,1,78.5,9.3
RET,CF,DI,16,7501055388240,VICTORIA Manzana-Durazno 1.5L PNR,Refrescos,1,88.3,9.3
RET,CF,DI,16,7501055368785,Refresco CocaCola 15 lt botella retornable cola,Refrescos,1,98.1,9.2
RET,CF,DI,16,7501055303540,Refresco Coca-Cola 1.5 lt botella No Retornable:cola:regular,Refrescos,1,107.8,9.2
RET,CF,DI,17,7501055300952,Refresco CocaCola 1 1/4 lt botella Retornable,Refrescos,3,0.0,27.3
RET,CF,DI,17,606110023863,Red Cola 1.5 Lt,Refrescos,1,27.8,9.1
RET,CF,DI,17,21136414646,Topo Chico Sangria 2L NR,Refrescos,1,37.4,9.0
RET,CF,DI,17,7501055371754,Fanta Naranja 1.35L NR,Refrescos,1,46.9,9.0
RET,CF,DI,17,7501071120176,Squirt Toronja 1.5L NR,Refrescos,1,56.4,9.0
RET,CF,DI,17,7501022015384,Manzanita Sol PET 1.5 Lts,Refrescos,1,65.9,9.0
RET,CF,DI,17,7501022015292,Refresco Mirinda 1.5 L NR: naranja,Refrescos,1,75.4,9.0
RET,CF,DI,17,7501055371747,Fresca Toronja 1.35L NR,Refrescos,1,84.9,9.0
