SEGMENTO_ID,MUEBLE_ID,DIRECCION,CHAROLA_ID,UPC_CVE,ITEM_DESC,PLANOGRUPO_DESC,COORDENADA_X_INICIO,ANCHO_DIBUJO_CM
CLA,CF,DI,1,7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,Refrescos,0.0,22.6
CLA,CF,DI,1,7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,Refrescos,22.6,21.8
CLA,CF,DI,1,75007614,Refresco CocaCola 600 ml botella No Retornable cola,Refrescos,44.4,20.7
CLA,CF,DI,1,7501073800908,Penafiel Mineral 2 lt NR,Refrescos,65.1,20.6
CLA,CF,DI,1,7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,Refrescos,85.7,20.0
CLA,CF,DI,1,7501055339419,Escuis Pina 3L NR,Refrescos,105.7,11.7
CLA,CF,DI,2,7501055374366,Cristal Fresa 1.75L NR,Refrescos,0.0,19.9
CLA,CF,DI,2,75004699,Refresco CocaCola 500 ml botella vidrio Retornable,Refrescos,19.9,19.8
CLA,CF,DI,2,7501055303540,Refresco Coca-Cola 1.5 lt botella No Retornable:cola:regular,Refrescos,39.7,18.4
CLA,CF,DI,2,7501055361540,CocaCola Original lata 355 ML NR Sleek Can,Refrescos,58.1,17.4
CLA,CF,DI,2,7501055320646,Coca Cola SA 1 L NR,Refrescos,75.5,17.0
CLA,CF,DI,2,7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,Refrescos,92.5,17.0
CLA,CF,DI,2,7501055368679,CC SA 235ML PET NR,Refrescos,109.5,7.5
CLA,CF,DI,3,7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,Refrescos,0.0,16.8
CLA,CF,DI,3,7501055371655,Coca-Cola 1.35 Lts,Refrescos,16.8,16.8
CLA,CF,DI,3,21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,Refrescos,33.6,15.6
CLA,CF,DI,3,7501277412433,Agua purificada Taxco 600 ml bote,Refrescos,49.2,14.2
CLA,CF,DI,3,7501055361168,A Mineralizada 600ml 12P,Refrescos,63.4,12.6
